"To add dates to the cells, click on the cell then use the formula bar at the top of the screen. Do not type directly after clicking on the cell because it will replace everything present.",,,,,,,,,,,,,,,,,
"To undo use CTRL+Z, Use CTRL+F to search for names or dates",,,,,,,,,,,,,,,,,
Category,Common Name,Scientific Name,"Dates seen (mm/dd/yyyy, list with commas)",,,,,,,Sum of dates observed,<- formula is ,,"LEN(A1)-LEN(SUBSTITUTE(A1,"","",""""))+1",,,,Switch both A1s to whichever cell you want to count
Mammals,Beaver,Castor canadensis,"07/24/2019, 08/10/2019, 05/13/2020, 06/25/2020, 06/09/2021",,,,,,,5,,,,,,,
Mammals,Black bear,Ursus americanus,08/09/2025,,,,,,,1,,,,,,,
Mammals,Coyote,Canis latrans,"04/22/2018, 04/23/2019, 06/11/2020, 04/07/2023",,,,,,,4,,,,,,,
Mammals,Eastern chipmunk,Tamias striatus,"06/09/2019, 10/08/2019, 09/08/2021, 10/20/2021, 05/30/2022, 06/19/2022, 10/05/2023, 05/06/2024, 06/04/2024, 07/20/2024, 09/12/2024",,,,,,,11,,,,,,,
Mammals,Eastern cottontail rabbit,Sylvilagus floridanus,"07/19/2018, 08/10/2019",,,,,,,2,,,,,,,
Mammals,Eastern gray squirrel ,Sciurus carolinensis,"10/08/2019, 10/05/2023, 09/12/2024",,,,,,,3,,,,,,,
Mammals,Field mouse,Peromyscus maniculatus,05/23/2019,,,,,,,1,,,,,,,
Mammals,Muskrat,Ondatra zibethicus,"05/13/2020, 07/23/2022, 10/07/2024, 11/09/2024, 07/21/2025",,,,,,,5,,,,,,,
Mammals,Raccoon,Procyon lotor,05/06/2024,,,,,,,1,,,,,,,
Mammals,Red squirrel,Tamiasciurus hudsonicus,"08/10/2019, 09/20/2021, 10/20/2021, 05/30/2022, 11/03/2022, 05/06/2024,11/02/2025",,,,,,,7,,,,,,,
Mammals,River otter,Lontra canadensis,05/13/2020,,,,,,,1,,,,,,,
Mammals,White-tailed deer,Odocoileus virginianus,"04/22/2018, 06/09/2019, 05/09/2022, 08/10/2023, 07/20/2024",,,,,,,5,,,,,,,
Herptiles,American toad,Anaxyrus americanus,"06/20/2018, 10/11/2018, 06/09/2019, 08/11/2020, 06/04/2024, 07/20/2024",,,,,,,6,,,,,,,
Herptiles,Common garter snake,Thamnophis sirtalis,"05/07/2018, 07/21/2025",,,,,,,2,,,,,,,
Herptiles,Garter snake,Thamnophis sirtalis,"04/10/2024, 08/04/2024",,,,,,,2,,,,,,,
Herptiles,Leopard frog,Lithobates pipiens,04/22/2022,,,,,,,1,,,,,,,
Herptiles,Midland painted turtle,Chrysemys picta ,"06/25/2020, 06/22/2021, 09/20/2021, 06/19/2022, 06/18/2024, 09/12/2024",,,,,,,6,,,,,,,
Herptiles,Tetraploid gray treefrog,Hyla versicolor,05/30/2022,,,,,,,1,,,,,,,
Birds,Alder flycatcher,Empidonax alnorum,06/16/2020,,,,,,,1,,,,,,,
Birds,Amecian goldfinch,Spinus tristis,"07/19/2018, 08/16/2018, 08/10/2019, 10/26/2019, 06/11/2020, 06/16/2020, 07/21/2020, 08/14/2021, 04/22/2022, 05/30/2022, 08/11/2022, 04/07/2023, 07/13/2023, 08/13/2023, 10/05/2023, 05/06/2024, 06/04/2024, 06/18/2024, 07/20/2024, 08/04/2024, 09/12/2024, 10/07/2024, 11/09/2024, 07/21/2025, 08/09/2025,09/01/2025,09/07/2025",,,,,,,27,,,,,,,
Birds,American crow,Corvus brachyrhynchos,"08/16/2018, 06/09/2019, 06/16/2020, 10/14/2020, 08/14/2021, 05/30/2022, 06/04/2022, 04/07/2023, 06/04/2023, 04/21/2024, 06/04/2024,09/01/2025",,,,,,,12,,,,,,,
Birds,American robin,Turdus migratorius,"07/19/2018, 08/10/2019, 06/11/2020, 06/16/2020, 09/08/2021, 04/09/2022, 05/30/2022, 06/19/2022, 04/07/2023, 06/04/2023, 07/13/2023, 10/05/2023, 04/10/2024, 04/21/2024, 06/04/2024, 09/12/2024, 10/07/2024, 11/09/2024,09/01/2025",,,,,,,19,,,,,,,
Birds,American tree sparrow,Spizelloides arborea,04/07/2023,,,,,,,1,,,,,,,
Birds,Baltimore oriole,Icterus galbula,"06/11/2020, 06/16/2020, 06/22/2021, 06/04/2022, 06/19/2022, 05/19/2023, 06/04/2023, 05/06/2024",,,,,,,8,,,,,,,
Birds,Belted kingfisher,Megaceryle alcyon,"07/19/2018, 09/20/2021, 10/20/2024,09/01/2025",,,,,,,4,,,,,,,
Birds,Black and white warbler,Mniotilta varia,06/16/2020,,,,,,,1,,,,,,,
Birds,Black billed cuckoo,Coccyzus erythropthalmus,"08/10/2019, 06/16/2020, 06/22/2021, 08/09/2025",,,,,,,4,,,,,,,
Birds,Black capped chickadee,Poecile atricapillus,"07/19/2018, 08/16/2018, 09/27/2018,  10/11/2018, 10/22/2018, 04/11/2019, 04/23/2019, 05/07/2019, 06/09/2019, 08/10/2019, 10/08/2019, 10/26/2019, 06/16/2020, 07/21/2020, 09/14/2020, 10/14/2020, 07/22/2021, 08/14/2021, 09/08/2021, 10/20/2021, 04/09/2022, 04/22/2022, 05/09/2022, 05/30/2022, 08/11/2022,09/01/2025,09/07/2025 10/14/2022,11/22/2025 11/03/2022, 04/07/2023, 05/19/2023, 06/04/2023, 07/13/2023,  08/10/2023, 09/24/2023, 10/18/2023, 04/10/2024, 04/21/2024, 05/06/2024, 06/15/2024, 06/18/2024, 10/07/2024, 10/20/2024, 11/09/2024, 08/09/2025,09/07/2025,10/06/2025",,,,,,,46,,,,,,,
Birds,Black-throated green warbler,Setophaga virens,06/04/2024,,,,,,,1,,,,,,,
Birds,Blue jay ,Cyanocitta cristata,"07/19/2018,  10/11/2018, 08/10/2019, 10/08/2019,10/26/2019,  06/16/2020, 07/21/2020, 09/14/2020, 10/08/2020, 10/14/2020, 08/14/2021, 09/08/2021, 09/20/2021,1102/2025 10/20/2021, 04/22/2022, 05/09/2022, 05/30/2022, 06/04/2022, 06/19/2022, 11/03/2022, 04/07/2023, 06/04/2023, 07/13/2023, 09/24/2023,10/05/2023, 10/18/2023, 05/06/2024, 06/04/2024, 06/15/2024, 06/18/2024, 10/07/2024, 09/12/2024, 10/20/2024, 11/09/2024,09/01/2025,09/07/2025,10/06/2025,11/02/2025",,,,,,,38,,,,,,,
Birds,Blue winged warbler,Vermivora cyanoptera,"06/16/2020, 06/04/2023",,,,,,,2,,,,,,,
Birds,Bobolink,Dolichonyx oryzivorus,06/16/2020,,,,,,,1,,,,,,,
Birds,Brown creeper,Certhia americana,04/07/2023,,,,,,,1,,,,,,,
Birds,Brown headed cowbird,Molothrus ater,06/16/2020,,,,,,,1,,,,,,,
Birds,Brown thrasher,Toxostoma rufum,06/16/2020,,,,,,,1,,,,,,,
Birds,Canada goose,Branta canadensis,"04/23/2019, 08/14/2021, 04/22/2022, 05/09/2022, 04/07/2023, 05/19/2023, 05/06/2024, 11/09/2024,09/01/2025",,,,,,,9,,,,,,,
Birds,Cedar waxwing,Bombycilla cedrorum,"08/10/2019, 10/08/2019, 06/16/2020, 08/14/2021, 07/21/2025, 08/09/2025",,,,,,,6,,,,,,,
Birds,Chestnut sided warbler ,Setophaga pensylvanica,06/04/2024,,,,,,,1,,,,,,,
Birds,Chipping sparrow,Spizella passerina,"06/16/2020, 04/22/2022, 07/13/2023, 06/18/2024",,,,,,,4,,,,,,,
Birds,Clay-colored sparrow,Spizella pallida,"06/16/2020, 06/18/2024",,,,,,,2,,,,,,,
Birds,Common grackle,Quiscalus quiscula,"08/10/2019, 10/08/2019, 06/16/2020, 04/09/2022",,,,,,,4,,,,,,,
Birds,Common raven,Corvus corax,06/04/2023,,,,,,,1,,,,,,,
Birds,Common yellowthroat,Geothlypis trichas,"06/16/2020, 06/04/2023, 06/04/2024",,,,,,,3,,,,,,,
Birds,Dark-eyed Junco,Junco hyemalis,"04/07/2023, 10/07/2024, 10/20/2024, 11/09/2024,11/22/2025",,,,,,,5,,,,,,,
Birds,Downy woodpecker,Dryobates pubescens,"07/21/2020, 07/22/2021, 08/14/2021,09/01/2025,09/07/2025",,,,,,,5,,,,,,,
Birds,Eastern bluebird,Sialia sialis,"05/07/2019, 06/16/2020, 06/27/2021, 04/09/2022, 05/09/2022, 05/19/2023",,,,,,,6,,,,,,,
Birds,Eastern kingbird,Tyrannus tyrannus,"07/06/2018, 08/16/2018, 06/16/2020, 06/22/2021, 06/19/2022, 07/13/2023, 07/20/2024, 08/09/2025",,,,,,,8,,,,,,,
Birds,Eastern Meadowlark,Sturnella magna,"06/16/2020,08/10/2023, 08/13/2023",,,,,,,3,,,,,,,
Birds,Eastern phoebe ,Sayornis phoebe,"04/11/2019, 06/16/2020, 04/09/2022, 05/30/2022, 06/04/2023",,,,,,,5,,,,,,,
Birds,Eastern towhee,Pipilo erythrophthalmus,"06/19/2018, 07/19/2018, 08/16/2018, 05/23/2019, 06/16/2019, 06/11/2020, 06/16/2020, 06/22/2021, 06/27/2021, 07/05/2021, 05/30/2022, 06/19/2022, 06/04/2023",,,,,,,13,,,,,,,
Birds,Eastern wood pewee,Contopus virens,"07/19/2018, 06/16/2019, 06/16/2020, 08/14/2021, 06/04/2023, 07/13/2023, 06/18/2024",,,,,,,7,,,,,,,
Birds,European starling,Sturnus vulgaris,"06/16/2020,09/01/2025",,,,,,,2,,,,,,,
Birds,Field sparrow,Spizella pusilla,"06/11/2020, 06/16/2020, 07/21/2020, 06/04/2022, 06/04/2023",,,,,,,5,,,,,,,
Birds,Golden-crowned kinglet,Regulus satrapa,04/07/2023,,,,,,,1,,,,,,,
Birds,Gray catbird,Dumetella carolinensis,"05/23/2019, 06/16/2020",,,,,,,2,,,,,,,
Birds,Great blue heron,Ardea herodias,"09/09/2018, 05/07/2019, 06/16/2020, 09/23/2020, 06/09/2021, 09/20/2021, 05/09/2022, 05/19/2023, 07/04/2024, 08/04/2024, 09/12/2024, 07/21/2025",,,,,,,12,,,,,,,
Birds,Great-crested flycatcher,Myiarchus crinitus,"07/19/2018, 08/10/2019, 06/16/2020, 06/04/2023, 06/04/2024, 06/18/2024, 07/21/2025,09/01/2025",,,,,,,8,,,,,,,
Birds,Green heron,Butorides virescens,"07/06/2018, 07/11/2020, 09/14/2020, 06/27/2021",,,,,,,4,,,,,,,
Birds,Hairy woodpecker,Leuconotopicus villosus,"08/10/2019, 10/26/2019, 06/16/2020, 08/14/2021, 08/11/2022, 10/14/2022, 11/09/2024",,,,,,,7,,,,,,,
Birds,House wren,Troglodytes aedon,"10/08/2019, 06/16/2020, 05/30/2022, 10/05/2023, 07/20/2024, 07/21/2025,09/01/2025",,,,,,,7,,,,,,,
Birds,Indigo bunting ,Passerina cyanea,"07/19/2018, 06/16/2020, 05/30/2022, 06/04/2022, 06/19/2022, 06/04/2023, 06/18/2024, 07/13/2024",,,,,,,8,,,,,,,
Birds,Killdeer,Charadrius vociferus,"07/22/2021, 04/22/2022, 05/19/2023, 07/20/2024",,,,,,,4,,,,,,,
Birds,Mallard,Anas platyrhynchos,"07/19/2018, 09/27/2018, 10/22/2018, 04/11/2019, 04/23/2019, 06/16/2020, 04/22/2022, 06/19/2022, 10/14/2022, 11/03/2022, 04/07/2023, 05/19/2023, 10/05/2023, 04/21/2024, 05/06/2024, 06/04/2024, 06/15/2024,  06/18/2024, 09/12/2024, 10/20/2024,09/01/2025",,,,,,,21,,,,,,,
Birds,Mourning dove,Zenaida macroura,"08/10/2019, 06/16/2020, 08/14/2021, 04/07/2023, 05/06/2024, 06/04/2024,09/01/2025",,,,,,,7,,,,,,,
Birds,Mourning warbler ,Geothlypis philadelphia,"06/16/2020, 05/30/2022, 06/04/2022",,,,,,,3,,,,,,,
Birds,Northern cardinal ,Cardinalis cardinalis,"07/19/2018, 04/23/2019, 06/09/2019, 08/10/2019, 06/16/2020, 08/14/2021, 04/09/2022, 04/22/2022, 06/19/2022, 04/07/2023, 06/04/2023, 08/10/2023, 10/05/2023, 10/18/2023, 05/06/2024, 06/04/2024, 06/18/2024, 07/04/2024, 07/13/2024, 07/20/2024,09/01/2025,10/06/2025",,,,,,,22,,,,,,,
Birds,Northern flicker,Colaptes auratus,"07/19/2018, 05/07/2019, 07/09/2019, 10/08/2019, 06/11/2020, 06/16/2020, 07/22/2021, 08/14/2021, 08/13/2023, 09/12/2024",,,,,,,10,,,,,,,
Birds,Orange crowned warbler,Leiothlypis celata,2025-10-06,,,,,,,1,,,,,,,
Birds,Osprey,Pandion haliaetus,"06/16/2020, 06/19/2022",,,,,,,2,,,,,,,
Birds,Ovenbird,Seiurus aurocapilla,04/09/2022,,,,,,,1,,,,,,,
Birds,Pileated woodpecker,Dryocopus pileatus,"10/22/2018, 04/23/2019, 04/07/2023,09/07/2025,10/06/2025",,,,,,,5,,,,,,,
Birds,Pine warbler,Setophaga pinus,"05/30/2022, 06/04/2022, 06/18/2024",,,,,,,3,,,,,,,
Birds,Red bellied woodpecker,Melanerpes carolinus,"06/16/2020, 04/07/2023, 06/04/2023, 06/18/2024, 08/09/2025",,,,,,,5,,,,,,,
Birds,Red breasted nuthatch,Sitta canadensis,"08/10/2019, 10/26/2019, 04/07/2023, 10/05/2023, 09/12/2024,09/01/2025,09/07/2025,10/06/2025,11/02/2025,11/22/2025,",,,,,,,11,,,,,,,
Birds,Red eyed vireo,Vireo olivaceus,"07/19/2018, 06/11/2020, 06/16/2020, 07/21/2020, 08/14/2021, 05/30/2022, 06/04/2022, 06/04/2023, 07/13/2023, 06/04/2024, 07/20/2024, 08/04/2024, 07/21/2025,09/01/2025",,,,,,,14,,,,,,,
Birds,Red winged blackbird,Agelaius phoeniceus,"04/23/2019, 06/11/2020, 06/16/2020, 07/21/2020, 10/08/2020, 06/09/2021, 04/07/2023, 05/19/2023, 07/13/2023, 05/06/2024, 06/04/2024, 06/15/2024,09/01/2025",,,,,,,13,,,,,,,
Birds,Red-tailed hawk,Buteo jamaicensis,"07/09/2019, 08/14/2021, 10/18/2023",,,,,,,3,,,,,,,
Birds,Ring billed gull,Larus delawarensis,07/20/2024,,,,,,,1,,,,,,,
Birds,Rock pidgeon,Columba livia,06/19/2022,,,,,,,1,,,,,,,
Birds,Rose-breasted grosbeak,Pheucticus ludovicianus,"06/16/2020, 08/14/2021, 05/30/2022, 05/19/2023, 06/04/2024, 06/18/2024",,,,,,,6,,,,,,,
Birds,Ruby-crowned kinglet,Corthylio calendula,"04/22/2022, 10/05/2023,10/06/2025",,,,,,,3,,,,,,,
Birds,Ruffed grouse,Bonasa umbellus,"07/21/2020, 09/20/2021, 04/09/2022, 04/07/2023,",,,,,,,5,,,,,,,
Birds,Sandhill crane,Antigone canadensis,11/09/2024,,,,,,,1,,,,,,,
Birds,Savannah sparrow,Passerculus sandwichensis,"06/16/2020, 07/21/2020, 06/04/2023",,,,,,,3,,,,,,,
Birds,Scarlet tanager,Piranga olivacea,"05/30/2022, 06/04/2022",,,,,,,2,,,,,,,
Birds,Song sparrow,Melospiza melodia,"07/19/2018, 06/11/2020, 07/21/2020, 04/09/2022, 04/22/2022, 06/04/2022, 06/19/2022, 04/07/2023, 06/04/2023, 07/13/2023, 10/05/2023, 10/18/2023, 04/10/2024, 06/18/2024, 08/04/2024, 09/12/2024, 07/21/2025,09/01/2025,10/06/2025",,,,,,,19,,,,,,,
Birds,Spotted sandpiper,Actitis macularius,"05/07/2019, 06/04/2022, 06/19/2022, 08/04/2024, 07/21/2025",,,,,,,5,,,,,,,
Birds,Swamp sparrow,Melospiza georgiana,"10/05/2023, 10/18/2023, 09/12/2024,10/06/2025",,,,,,,4,,,,,,,
Birds,Traill's flycatcher,Empidonax traillii,08/14/2021,,,,,,,1,,,,,,,
